Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/background.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_5.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/header/logo.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/header/tg.svg.png
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/header/vk.svg.png
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_6.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_7.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/artists/artist_8.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/teachers.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/teachers.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/teachers/teacher_1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/teachers/teacher_2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/teachers/teacher_3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/teachers/teacher_4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/performances.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/performances.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/photo_carusel.js
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/pterodactil.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/gandi.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/explanations_of_love.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/only_13.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/ay_da_balda.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/lenka.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/5.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/only_13/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/only_13/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/only_13/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/afisha.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/afisha.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/posters/pterodactil.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/posters/carnival.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/posters/gandi.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/pterodactil/5.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/gandi/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/explanations_of_love/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/only_13/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/only_13/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/only_13/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/ay_da_balda/4.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/lenka/4.jpg
